,total,baseTotal,mcc,baseCurrency,date,currency,merchant
0,5.0,5.0,5993.0,EUR,2019-02-14 10:42:29.195,EUR,ESTANCO HERNAN
1,2.9,2.9,5814.0,EUR,2019-02-21 08:31:30.714,EUR,STARBUCKS COFFEE
2,12.0,12.0,5812.0,EUR,2019-03-05 12:22:16.925,EUR,FARO FINISTERRE
3,15.0,13.2,,EUR,2019-03-06 23:00:00.000,CHF,Migros
4,3.45,3.45,5812.0,EUR,2019-03-13 07:44:45.235,EUR,VIRREY SAN
5,12.0,12.0,5812.0,EUR,2019-03-13 12:46:12.073,EUR,FARO FINISTER
6,15.0,15.0,5814.0,EUR,2019-03-14 11:58:24.024,EUR,MIGUEL ANGEL
7,12.04,12.04,5977.0,EUR,2019-03-14 12:09:55.074,EUR,DRUNI MADRID
8,6.4,6.4,,EUR,2019-05-22 20:57:00.000,EUR,Radio Taxi
9,10.0,10.0,,EUR,2019-05-22 22:00:00.000,EUR,Taxi Cartagena
10,1.11,1.11,,EUR,2019-05-31 10:10:00.000,EUR,Marcial
11,4.65,4.65,5812.0,GBP,2019-02-06 12:53:55.205,GBP,PRET MANGER
12,12.95,12.95,5499.0,GBP,2019-06-05 15:06:29.528,GBP,BAYLEY SAGE
13,254.67,254.67,,EUR,2019-06-14 22:00:00.000,EUR,Air Europa
14,1.0,1.12,8999.0,EUR,2019-06-18 06:48:37.624,GBP,Card verification
15,1.19,1.34,8999.0,EUR,2019-06-18 06:48:47.308,GBP,Curv
16,0.1,0.11,4111.0,EUR,2019-06-18 09:40:47.090,GBP,TfL Travel
17,3.8,4.27,5812.0,EUR,2019-06-18 10:04:55.494,GBP,EAT LTD
18,24.75,27.79,5812.0,EUR,2019-06-18 11:23:09.280,GBP,DISHOOM SHOREDIT
19,15.0,16.81,5812.0,EUR,2019-06-18 16:48:18.674,GBP,JUGGED HARE
20,5.5,6.16,5812.0,EUR,2019-06-18 15:09:51.693,GBP,JUGGED HARE
21,6.55,7.34,5814.0,EUR,2019-06-19 06:43:26.913,GBP,STARBUCKS GATWICK
22,8.38,8.38,5813.0,GBP,2019-06-19 13:06:58.216,GBP,RODILLA GRAN
23,1.0,1.12,8999.0,EUR,2019-06-19 15:26:52.547,GBP,Card verification
24,1.0,1.12,8999.0,EUR,2019-06-19 15:27:27.284,GBP,Card verification
25,0.52,0.52,8999.0,EUR,2019-06-19 15:27:39.868,EUR,Curv
26,5.2,5.8100000000000005,4111.0,EUR,2019-06-20 01:48:28.766,GBP,TFL TRAVEL
27,8.67,8.67,4511.0,GBP,2019-06-24 07:44:07.568,GBP,AIRSHOP SOLUTIONS
28,1.0,1.12,8999.0,EUR,2019-06-24 07:12:30.860,GBP,Card verification
29,0.14,0.14,8999.0,EUR,2019-06-24 07:12:40.344,EUR,Curv
30,1.0,1.0,5734.0,EUR,2019-06-28 09:18:42.109,EUR,WWW.SAGE.COM EUR
